fips,stcd,district,pop2010
18,IN,099,58098
18,IN,100,51342
19,IA,001,29391
19,IA,002,27840
19,IA,003,29741
19,IA,004,30923
19,IA,005,27563
19,IA,006,29134
19,IA,007,26716
19,IA,008,26866
19,IA,009,27314
19,IA,010,30112
19,IA,011,27572
19,IA,012,27987
19,IA,013,28051
19,IA,014,28299
19,IA,015,28034
19,IA,016,29039
19,IA,017,29880
19,IA,018,28250
19,IA,019,29974
19,IA,020,32507
19,IA,021,29362
19,IA,022,28653
19,IA,023,28807
19,IA,024,28093
19,IA,025,29236
19,IA,026,28285
19,IA,027,28448
19,IA,028,29684
19,IA,029,33364
19,IA,030,42788
19,IA,031,31907
19,IA,032,30747
19,IA,033,32311
19,IA,034,28737
19,IA,035,35173
19,IA,036,37187
19,IA,037,31767
19,IA,038,27617
19,IA,039,29919
19,IA,040,29143
19,IA,041,28844
19,IA,042,36928
19,IA,043,30339
19,IA,044,27889
19,IA,045,35688
19,IA,046,31623
19,IA,047,54425
19,IA,048,29258
19,IA,049,28925
19,IA,050,25121
19,IA,051,27718
19,IA,052,28211
19,IA,053,28807
19,IA,054,28991
19,IA,055,28147
19,IA,056,28514
19,IA,057,27393
19,IA,058,27255
19,IA,059,29055
19,IA,060,31581
19,IA,061,28555
19,IA,062,29387
19,IA,063,34062
19,IA,064,27942
19,IA,065,28229
19,IA,066,28757
19,IA,067,37653
19,IA,068,31634
19,IA,069,51009
19,IA,070,41393
19,IA,071,30841
19,IA,072,28523
19,IA,073,32505
19,IA,074,33724
19,IA,075,29795
19,IA,076,28866
19,IA,077,29780
19,IA,078,32351
19,IA,079,30646
19,IA,080,29774
19,IA,081,30091
19,IA,082,31123
19,IA,083,30728
19,IA,084,31647
19,IA,085,30698
19,IA,086,28323
19,IA,087,27761
19,IA,088,27882
19,IA,089,31869
19,IA,090,28496
19,IA,091,27706
19,IA,092,28301
19,IA,093,29303
19,IA,094,28043
19,IA,095,29515
19,IA,096,26979
19,IA,097,27696
19,IA,098,32864
19,IA,099,29553
19,IA,100,31218
20,KS,001,20329
20,KS,002,20299
20,KS,003,21922
20,KS,004,20981
20,KS,005,21996
20,KS,006,26961
20,KS,007,19922
20,KS,008,20232
20,KS,009,21122
20,KS,010,25352
20,KS,011,21445
20,KS,012,19460
20,KS,013,17996
20,KS,014,27630
20,KS,015,27123
20,KS,016,18949
20,KS,017,23303
20,KS,018,21120
20,KS,019,20371
20,KS,020,22415
20,KS,021,21104
20,KS,022,21395
20,KS,023,20831
20,KS,024,20368
20,KS,025,20461
20,KS,026,31058
20,KS,027,32289
20,KS,028,26379
20,KS,029,20245
20,KS,030,21881
20,KS,031,19669
20,KS,032,20891
20,KS,033,20337
20,KS,034,19918
20,KS,035,20403
20,KS,036,27098
20,KS,037,21850
20,KS,038,40325
20,KS,039,34351
20,KS,040,20957
20,KS,041,19860
20,KS,042,27057
20,KS,043,36993
20,KS,044,21762
20,KS,045,29825
20,KS,046,24552
20,KS,047,20765
20,KS,048,38916
20,KS,049,26967
20,KS,050,22000
20,KS,051,22133
20,KS,052,22542
20,KS,053,23340
20,KS,054,22524
20,KS,055,21171
20,KS,056,20158
20,KS,057,21197
20,KS,058,21153
20,KS,059,21469
20,KS,060,21595
20,KS,061,24567
20,KS,062,20162
20,KS,063,22789
20,KS,064,32032
20,KS,065,22589
20,KS,066,34584
20,KS,067,24852
20,KS,068,20392
20,KS,069,21239
20,KS,070,20195
